INSTNM,NPT4_PUB,Year,STABBR,CITY
Fashion Institute of Technology,11005,2009,NY,New York
University of California-Los Angeles,14067,2010,CA,Los Angeles
Fashion Institute of Technology,11166,2010,NY,New York
University of California-Los Angeles,14360,2011,CA,Los Angeles
Fashion Institute of Technology,11621,2011,NY,New York
Fashion Institute of Technology,12078,2012,NY,New York
University of California-Los Angeles,14437,2012,CA,Los Angeles
University of California-Los Angeles,12499,2009,CA,Los Angeles
University of California-Los Angeles,13723,2013,CA,Los Angeles
Fashion Institute of Technology,11466,2013,NY,New York
CUNY John Jay College Criminal Justice,3349,2009,NY,New York
CUNY Bernard M Baruch College,4454,2009,NY,New York
CUNY Borough of Manhattan Community College,6989,2009,NY,New York
CUNY City College,5399,2009,NY,New York
CUNY Hunter College,4472,2009,NY,New York
Los Angeles Southwest College,5319,2010,CA,Los Angeles
CUNY Borough of Manhattan Community College,5584,2010,NY,New York
CUNY City College,4717,2010,NY,New York
CUNY Hunter College,4127,2010,NY,New York
Los Angeles Trade Technical College,5715,2010,CA,Los Angeles
CUNY John Jay College of Criminal Justice,3833,2010,NY,New York
California State University-Los Angeles,4255,2010,CA,Los Angeles
Los Angeles City College,6352,2010,CA,Los Angeles
CUNY Bernard M Baruch College,3740,2010,NY,New York
Los Angeles City College,4757,2011,CA,Los Angeles
Los Angeles Southwest College,5111,2011,CA,Los Angeles
California State University-Los Angeles,3742,2011,CA,Los Angeles
Los Angeles Trade Technical College,5549,2011,CA,Los Angeles
CUNY Hunter College,4714,2011,NY,New York
CUNY John Jay College of Criminal Justice,3295,2011,NY,New York
CUNY Bernard M Baruch College,3906,2011,NY,New York
CUNY Borough of Manhattan Community College,5887,2011,NY,New York
CUNY City College,4518,2011,NY,New York
CUNY John Jay College of Criminal Justice,4893,2012,NY,New York
CUNY Bernard M Baruch College,5554,2012,NY,New York
CUNY Borough of Manhattan Community College,6807,2012,NY,New York
CUNY City College,5726,2012,NY,New York
CUNY Hunter College,6552,2012,NY,New York
Los Angeles Southwest College,4683,2012,CA,Los Angeles
California State University-Los Angeles,4484,2012,CA,Los Angeles
Los Angeles Trade Technical College,5653,2012,CA,Los Angeles
Los Angeles City College,5323,2012,CA,Los Angeles
Los Angeles City College,6899,2009,CA,Los Angeles
Los Angeles Southwest College,8853,2009,CA,Los Angeles
California State University-Los Angeles,3962,2009,CA,Los Angeles
Los Angeles City College,5435,2013,CA,Los Angeles
Los Angeles Trade Technical College,7195,2009,CA,Los Angeles
Stella and Charles Guttman Community College,2492,2013,NY,New York
CUNY Bernard M Baruch College,6543,2013,NY,New York
California State University-Los Angeles,5431,2013,CA,Los Angeles
Los Angeles Southwest College,6063,2013,CA,Los Angeles
CUNY Borough of Manhattan Community College,6778,2013,NY,New York
CUNY City College,5150,2013,NY,New York
CUNY Hunter College,6688,2013,NY,New York
Los Angeles Trade Technical College,5074,2013,CA,Los Angeles
CUNY John Jay College of Criminal Justice,5141,2013,NY,New York
COPE INSTITUTE,,2000,NY,New York
AMERICAN COLLEGE OF BUSINESS,,2000,CA,Los Angeles
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,,2000,CA,Los Angeles
AMERICAN BARBER INSTITUTE,,2000,NY,New York
COPE INSTITUTE,,2001,NY,New York
AMERICAN COLLEGE OF BUSINESS,,2001,CA,Los Angeles
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,,2001,CA,Los Angeles
MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,,2001,NY,New York
AMERICAN BARBER INSTITUTE,,2001,NY,New York
CHASE COLLEGE,,2001,CA,Los Angeles
INSTITUTE OF COMPUTER TECHNOLOGY,,2002,CA,Los Angeles
COPE INSTITUTE,,2002,NY,New York
NEW YORK INTERNATIONAL BEAUTY SCHOOL LTD,,2002,NY,New York
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,,2002,CA,Los Angeles
MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,,2002,NY,New York
LOS ANGELES COLLEGE OF MICROTECHNOLOGY,,2002,CA,Los Angeles
AMERICAN BARBER INSTITUTE INC,,2002,NY,New York
CHASE COLLEGE,,2002,CA,Los Angeles
AMERICAN CAREER COLLEGE,,2003,CA,Los Angeles
CITY UNIVERSITY-LOS ANGELES,,2003,CA,Los Angeles
INSTITUTE OF COMPUTER TECHNOLOGY,,2003,CA,Los Angeles
COPE INSTITUTE,,2003,NY,New York
MOUNT SINAI SCHOOL OF MEDICINE,,2003,NY,New York
NEW YORK INTERNATIONAL BEAUTY SCHOOL LTD,,2003,NY,New York
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,,2003,CA,Los Angeles
MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,,2003,NY,New York
AMERICAN BARBER INSTITUTE INC,,2003,NY,New York
CHASE COLLEGE,,2003,CA,Los Angeles
