INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
ST JOSEPH'S MEDICAL CENTER SCHOOL OF RADIOGRAPHY,800,,800,,YONKERS
O'MORE COLLEGE OF DESIGN,800,,800,,FRANKLIN
MACCORMAC COLLEGE,800,,800,,CHICAGO
MACCORMAC COLLEGE,800,,800,,CHICAGO
ROCKLAND COUNTY BOCES PRACTICAL NURSING,800,,800,,WEST NYACK
THE NEW ENGLAND CONSERVATORY OF MUSIC,800,,800,,BOSTON
Biola University,800,790,800,47700,La Mirada
California Institute of Technology,800,790,800,,Pasadena
Princeton University,800,790,800,,Princeton
Bowie State University,800,800,800,,Bowie
Harvard University,800,800,800,,Cambridge
HARVARD UNIVERSITY,790,,800,,CAMBRIDGE
Franklin W. Olin College of Engineering,790,770,800,,Needham
Harvard University,790,790,800,130500,Cambridge
Princeton University,790,790,800,113000,Princeton
California Institute of Technology,790,790,800,95000,Pasadena
Yale University,790,790,800,,New Haven
California Institute of Technology,790,790,800,,Pasadena
Princeton University,790,800,800,,Princeton
CALIFORNIA INSTITUTE OF TECHNOLOGY,780,,800,,PASADENA
CALIFORNIA INSTITUTE OF TECHNOLOGY,780,,800,,PASADENA
CALIFORNIA INSTITUTE OF TECHNOLOGY,780,,800,,PASADENA
Franklin W. Olin College of Engineering,780,760,800,,Needham
Franklin W. Olin College of Engineering,780,770,800,,Needham
California Institute of Technology,780,770,800,97500,Pasadena
California Institute of Technology,780,780,800,,Pasadena
California Institute of Technology,770,,800,,Pasadena
Massachusetts Institute of Technology,770,,800,,Cambridge
CALIFORNIA INSTITUTE OF TECHNOLOGY,770,,800,,PASADENA
Harvey Mudd College,770,760,800,,Claremont
California Institute of Technology,770,760,800,,Pasadena
California Institute of Technology,770,770,800,103600,Pasadena
Massachusetts Institute of Technology,770,770,800,128400,Cambridge
Harvey Mudd College,770,770,800,85000,Claremont
Massachusetts Institute of Technology,770,780,800,,Cambridge
Massachusetts Institute of Technology,770,780,800,,Cambridge
Harvey Mudd College,760,,800,,Claremont
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,760,,800,,CAMBRIDGE
HARVEY MUDD COLLEGE,760,,800,,CLAREMONT
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,760,,800,,CAMBRIDGE
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,760,,800,,CAMBRIDGE
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,760,,800,,CAMBRIDGE
Massachusetts Institute of Technology,760,,800,,Cambridge
Harvey Mudd College,760,,800,,Claremont
Massachusetts Institute of Technology,760,750,800,,Cambridge
Massachusetts Institute of Technology,760,750,800,127600,Cambridge
Harvey Mudd College,760,760,800,,Claremont
Massachusetts Institute of Technology,760,760,800,117100,Cambridge
Harvey Mudd College,760,760,800,,Claremont
Harvey Mudd College,760,760,800,89600,Claremont
Harvey Mudd College,760,760,800,,Claremont
California Institute of Technology,760,770,800,,Pasadena
Massachusetts Institute of Technology,760,770,800,,Cambridge
