INSTNM,CITY,STABBR,UGDS,PCTPELL
ATI Career Training Center,Dallas,TX,1234,1
Caribbean University-Ponce,Ponce,PR,1185,1
Universal Career Community College Inc,Santurce,PR,1335,1
Huertas Junior College,Caguas,PR,1674,1
Instituto de Banca y Comercio Inc,San Juan,PR,18168,0.9982
Drake College of Business-Elizabeth,Elizabeth,NJ,1133,0.9979
Drake College of Business-Newark,Newark,NJ,1335,0.9979
Universal Technology College of Puerto Rico,Aguadilla,PR,1216,0.9977
Drake College of Business-Elizabeth,Elizabeth,NJ,1282,0.9975
College of the Marshall Islands,Majuro,MH,1114,0.997
Drake College of Business-Newark,Newark,NJ,1465,0.9968
Drake College of Business-Newark,Newark,NJ,1497,0.9968
Centura College,Virginia Beach,VA,1639,0.9955
Coahoma Community College,Clarksdale,MS,2263,0.9946
Drake College of Business-Newark,Newark,NJ,1403,0.9944
Drake College of Business-Elizabeth,Elizabeth,NJ,1343,0.9937
Housatonic Community College,Bridgeport,CT,4516,0.9934
Career Point College,San Antonio,TX,1820,0.9926
American Professional Institute,Macon,GA,1013,0.9923
Universal Technology College of Puerto Rico,Aguadilla,PR,1756,0.9918
American University of Puerto Rico,Manati,PR,1157,0.9878
Computer Career Center a division of Vista College,El Paso,TX,1329,0.9869
East Georgia State College,Swainsboro,GA,2803,0.9851
Caribbean University-Bayamon,Bayamon,PR,1718,0.9845
Atenas College,Manati,PR,1390,0.9841
MBTI Business Training Institute,Santurce,PR,1935,0.9834
D'Mart Institute,Barranquitas,PR,1597,0.9824
American Professional Institute,Macon,GA,1662,0.9804
Coahoma Community College,Clarksdale,MS,2608,0.9801
Dewey University-Carolina,Carolina,PR,1031,0.9801
Atenas College,Manati,PR,1455,0.9792
ATI College of Health,Miami,FL,1587,0.9791
EDP College of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1084,0.979
Westwood College-Chicago Loop,Chicago,IL,1078,0.978
Michigan Jewish Institute,W Bloomfield,MI,1642,0.9764
UEI College-Fresno,Fresno,CA,1014,0.9732
United Education Institute-Huntington Park Campus,Huntington Park,CA,12317,0.9702
Coahoma Community College,Clarksdale,MS,2854,0.9697
MBTI Business Training Institute,Santurce,PR,4431,0.9682
